trackName;artistName;endTime;msPlayed;TrackID;Popularity;msDuration;Release_day;Uri;Acousticness;Danceability;Energy;Speechiness;Instrumentalness;Liveness;Valence;Loudeness;Tempo;Time_signature;Key;Mode;uri2;id2
Fine Line;Harry Styles;23/01/2024 13:10;344723;6VzcQuzTNTMFnJ6rBSaLH9;78;377960;13/12/2019;spotify:track:6VzcQuzTNTMFnJ6rBSaLH9;0.172;0.306;0.347;0.0334;0.00013;0.0485;0.0511;-8.5;120.996;4;2;1;spotify:track:6VzcQuzTNTMFnJ6rBSaLH9;6VzcQuzTNTMFnJ6rBSaLH9
Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha);mgk;23/01/2024 13:05;2693;0OI7AFifLSoGzpb8bdBLLV;71;202804;18/11/2017;spotify:track:0OI7AFifLSoGzpb8bdBLLV;0.00413;0.653;0.718;0.213;0.0;0.0537;0.216;-5.232;82.034;4;3;0;spotify:track:0OI7AFifLSoGzpb8bdBLLV;0OI7AFifLSoGzpb8bdBLLV
Parole di ghiaccio;Emis Killa;23/01/2024 13:05;231655;1mItEeAlTepKfWUOpu8h6b;56;231655;07/02/2012;spotify:track:1mItEeAlTepKfWUOpu8h6b;0.214;0.417;0.879;0.243;0.0;0.0811;0.704;-4.43;87.437;4;0;0;spotify:track:1mItEeAlTepKfWUOpu8h6b;1mItEeAlTepKfWUOpu8h6b
vampire;Olivia Rodrigo;23/01/2024 13:01;1764;1kuGVB7EU95pJObxwvfwKS;89;219724;08/09/2023;spotify:track:1kuGVB7EU95pJObxwvfwKS;0.154;0.484;0.53;0.0538;0.0;0.263;0.323;-5.821;136.848;4;5;1;spotify:track:1kuGVB7EU95pJObxwvfwKS;1kuGVB7EU95pJObxwvfwKS
Love Of My Life;Harry Styles;23/01/2024 13:01;191638;1mw0RgNXIpYRyyCdBQbLgA;72;191638;20/05/2022;spotify:track:1mw0RgNXIpYRyyCdBQbLgA;0.669;0.555;0.536;0.0452;0.0;0.0623;0.203;-8.233;118.057;4;7;1;spotify:track:1mw0RgNXIpYRyyCdBQbLgA;1mw0RgNXIpYRyyCdBQbLgA
A VOLTE;Il Tre;23/01/2024 12:54;162725;1XhRxRUsnqbnWUGwTEDtJC;54;162725;15/09/2023;spotify:track:1XhRxRUsnqbnWUGwTEDtJC;0.169;0.437;0.591;0.128;0;0.152;0.539;-6.521;88.002;4;6;0;spotify:track:1XhRxRUsnqbnWUGwTEDtJC;1XhRxRUsnqbnWUGwTEDtJC
INVISIBILI;Il Tre;23/01/2024 12:51;180000;4GFW7aTDMTpdnFPXEtmn5z;44;180000;15/09/2023;spotify:track:4GFW7aTDMTpdnFPXEtmn5z;0.144;0.673;0.574;0.178;0.0;0.109;0.296;-6.892;112.079;4;2;0;spotify:track:4GFW7aTDMTpdnFPXEtmn5z;4GFW7aTDMTpdnFPXEtmn5z
Space Song;Beach House;23/01/2024 12:51;3900;1ZgMsA55GIY7ICkQh5MILA;76;320466;28/08/2015;spotify:track:1ZgMsA55GIY7ICkQh5MILA;0.226;0.508;0.786;0.0293;0.14;0.143;0.611;-7.295;147.077;4;0;0;spotify:track:1ZgMsA55GIY7ICkQh5MILA;1ZgMsA55GIY7ICkQh5MILA
ONE MORE TIME;blink-182;23/01/2024 12:51;3575;5VEnzMXc8ocZko4M4TqnR2;64;208114;21/09/2023;spotify:track:5VEnzMXc8ocZko4M4TqnR2;0.114;0.628;0.497;0.0271;0.0;0.112;0.157;-5.794;114.704;5;2;1;spotify:track:5VEnzMXc8ocZko4M4TqnR2;5VEnzMXc8ocZko4M4TqnR2
SUPEREROI;Mr.Rain;23/01/2024 12:51;7790;5PEeleYFCn98sqBAyCk34s;60;195000;01/03/2024;spotify:track:5PEeleYFCn98sqBAyCk34s;0.228;0.47;0.619;0.0514;0.0;0.26;0.453;-7.617;136.083;4;1;1;spotify:track:5PEeleYFCn98sqBAyCk34s;5PEeleYFCn98sqBAyCk34s
MI ODIERAI;Mida;23/01/2024 12:48;154072;6eumBM7ThMaSPPGRlWZfWM;57;207034;12/12/2023;spotify:track:6eumBM7ThMaSPPGRlWZfWM;0.202;0.546;0.677;0.0603;0.0;0.114;0.739;-6.488;125.911;4;10;1;spotify:track:6eumBM7ThMaSPPGRlWZfWM;6eumBM7ThMaSPPGRlWZfWM
Fuori è notte;Il Tre;23/01/2024 12:45;172875;0gbl0gHhh40FudCySvWJNR;48;172875;24/09/2021;spotify:track:0gbl0gHhh40FudCySvWJNR;0.3;0.527;0.741;0.131;0.0;0.191;0.492;-5.362;80.696;4;10;1;spotify:track:0gbl0gHhh40FudCySvWJNR;0gbl0gHhh40FudCySvWJNR
august;Taylor Swift;23/01/2024 12:42;1625;4MGexoZc12lqE0hYkq9YYx;55;260000;25/11/2020;spotify:track:4MGexoZc12lqE0hYkq9YYx;0.5;0.554;0.663;0.0324;4.77e-05;0.791;0.545;-8.961;89.977;4;5;1;spotify:track:4MGexoZc12lqE0hYkq9YYx;4MGexoZc12lqE0hYkq9YYx
